Date_Code,Wk_Code,Month,Month ID,Quarter,Year,Cymw,Fymw
1/7/23,Jan W1'23,Jan,01,CQ1'23,2023,2023-01 W1,FY23Q2Jan W1
1/14/23,Jan W2'23,Jan,01,CQ1'23,2023,2023-01 W2,FY23Q2Jan W2
1/21/23,Jan W3'23,Jan,01,CQ1'23,2023,2023-01 W3,FY23Q2Jan W3
1/28/23,Jan W4'23,Jan,01,CQ1'23,2023,2023-01 W4,FY23Q2Jan W4
2/4/23,Jan W5'23,Jan,02,CQ1'23,2023,2023-01 W5,FY23Q2Jan W5
2/11/23,Feb W1'23,Feb,02,CQ1'23,2023,2023-02 W1,FY23Q2Feb W1
2/18/23,Feb W2'23,Feb,02,CQ1'23,2023,2023-02 W2,FY23Q2Feb W2
2/25/23,Feb W3'23,Feb,02,CQ1'23,2023,2023-02 W3,FY23Q2Feb W3
3/4/23,Feb W4'23,Feb,03,CQ1'23,2023,2023-02 W4,FY23Q2Feb W4
3/11/23,Mar W1'23,Mar,03,CQ1'23,2023,2023-03 W1,FY23Q2Mar W1
3/18/23,Mar W2'23,Mar,03,CQ1'23,2023,2023-03 W2,FY23Q2Mar W2
3/25/23,Mar W3'23,Mar,03,CQ1'23,2023,2023-03 W3,FY23Q2Mar W3
4/1/23,Mar W4'23,Mar,04,CQ1'23,2023,2023-03 W4,FY23Q2Mar W4
4/8/23,Apr W1'23,Apr,04,CQ2'23,2023,2023-04 W1,FY23Q3Apr W1
4/15/23,Apr W2'23,Apr,04,CQ2'23,2023,2023-04 W2,FY23Q3Apr W2
4/22/23,Apr W3'23,Apr,04,CQ2'23,2023,2023-04 W3,FY23Q3Apr W3
4/29/23,Apr W4'23,Apr,04,CQ2'23,2023,2023-04 W4,FY23Q3Apr W4
5/6/23,Apr W5'23,Apr,05,CQ2'23,2023,2023-04 W5,FY23Q3Apr W5
5/13/23,May W1'23,May,05,CQ2'23,2023,2023-05 W1,FY23Q3May W1
5/20/23,May W2'23,May,05,CQ2'23,2023,2023-05 W2,FY23Q3May W2
5/27/23,May W3'23,May,05,CQ2'23,2023,2023-05 W3,FY23Q3May W3
6/3/23,May W4'23,May,06,CQ2'23,2023,2023-05 W4,FY23Q3May W4
6/10/23,Jun W1'23,Jun,06,CQ2'23,2023,2023-06 W1,FY23Q3Jun W1
6/17/23,Jun W2'23,Jun,06,CQ2'23,2023,2023-06 W2,FY23Q3Jun W2
6/24/23,Jun W3'23,Jun,06,CQ2'23,2023,2023-06 W3,FY23Q3Jun W3
7/1/23,Jun W4'23,Jun,07,CQ2'23,2023,2023-06 W4,FY23Q3Jun W4
7/8/23,Jul W1'23,Jul,07,CQ3'23,2023,2023-07 W1,FY23Q4Jul W1
7/15/23,Jul W2'23,Jul,07,CQ3'23,2023,2023-07 W2,FY23Q4Jul W2
7/22/23,Jul W3'23,Jul,07,CQ3'23,2023,2023-07 W3,FY23Q4Jul W3
7/29/23,Jul W4'23,Jul,07,CQ3'23,2023,2023-07 W4,FY23Q4Jul W4
8/5/23,Jul W5'23,Jul,08,CQ3'23,2023,2023-07 W5,FY23Q4Jul W5
8/12/23,Aug W1'23,Aug,08,CQ3'23,2023,2023-08 W1,FY23Q4Aug W1
8/19/23,Aug W2'23,Aug,08,CQ3'23,2023,2023-08 W2,FY23Q4Aug W2
8/26/23,Aug W3'23,Aug,08,CQ3'23,2023,2023-08 W3,FY23Q4Aug W3
9/2/23,Aug W4'23,Aug,09,CQ3'23,2023,2023-08 W4,FY23Q4Aug W4
9/9/23,Sep W1'23,Sep,09,CQ3'23,2023,2023-09 W1,FY23Q4Sep W1
9/16/23,Sep W2'23,Sep,09,CQ3'23,2023,2023-09 W2,FY23Q4Sep W2
9/23/23,Sep W3'23,Sep,09,CQ3'23,2023,2023-09 W3,FY23Q4Sep W3
9/30/23,Sep W4'23,Sep,09,CQ3'23,2023,2023-09 W4,FY23Q4Sep W4
10/7/23,Oct W1'23,Oct,10,CQ4'23,2023,2023-10 W1,FY24Q1Oct W1
10/14/23,Oct W2'23,Oct,10,CQ4'23,2023,2023-10 W2,FY24Q1Oct W2
10/21/23,Oct W3'23,Oct,10,CQ4'23,2023,2023-10 W3,FY24Q1Oct W3
10/28/23,Oct W4'23,Oct,10,CQ4'23,2023,2023-10 W4,FY24Q1Oct W4
11/4/23,Oct W5'23,Oct,11,CQ4'23,2023,2023-10 W5,FY24Q1Oct W5
11/11/23,Nov W1'23,Nov,11,CQ4'23,2023,2023-11 W1,FY24Q1Nov W1
11/18/23,Nov W2'23,Nov,11,CQ4'23,2023,2023-11 W2,FY24Q1Nov W2
11/25/23,Nov W3'23,Nov,11,CQ4'23,2023,2023-11 W3,FY24Q1Nov W3
12/2/23,Nov W4'23,Nov,12,CQ4'23,2023,2023-11 W4,FY24Q1Nov W4
12/9/23,Dec W1'23,Dec,12,CQ4'23,2023,2023-12 W1,FY24Q1Dec W1
12/16/23,Dec W2'23,Dec,12,CQ4'23,2023,2023-12 W2,FY24Q1Dec W2
12/23/23,Dec W3'23,Dec,12,CQ4'23,2023,2023-12 W3,FY24Q1Dec W3
12/30/23,Dec W4'23,Dec,12,CQ4'23,2023,2023-12 W4,FY24Q1Dec W4
1/6/24,Jan W1'24,Jan,01,CQ1'24,2024,2024-01 W1,FY24Q2Jan W1
1/13/24,Jan W2'24,Jan,01,CQ1'24,2024,2024-01 W2,FY24Q2Jan W2
1/20/24,Jan W3'24,Jan,01,CQ1'24,2024,2024-01 W3,FY24Q2Jan W3
1/27/24,Jan W4'24,Jan,01,CQ1'24,2024,2024-01 W4,FY24Q2Jan W4
2/3/24,Jan W5'24,Jan,02,CQ1'24,2024,2024-01 W5,FY24Q2Jan W5
2/10/24,Feb W1'24,Feb,02,CQ1'24,2024,2024-02 W1,FY24Q2Feb W1
2/17/24,Feb W2'24,Feb,02,CQ1'24,2024,2024-02 W2,FY24Q2Feb W2
2/24/24,Feb W3'24,Feb,02,CQ1'24,2024,2024-02 W3,FY24Q2Feb W3
3/2/24,Feb W4'24,Feb,03,CQ1'24,2024,2024-02 W4,FY24Q2Feb W4
3/9/24,Mar W1'24,Mar,03,CQ1'24,2024,2024-03 W1,FY24Q2Mar W1
3/16/24,Mar W2'24,Mar,03,CQ1'24,2024,2024-03 W2,FY24Q2Mar W2
3/23/24,Mar W3'24,Mar,03,CQ1'24,2024,2024-03 W3,FY24Q2Mar W3
3/30/24,Mar W4'24,Mar,03,CQ1'24,2024,2024-03 W4,FY24Q2Mar W4
4/6/24,Apr W1'24,Apr,04,CQ2'24,2024,2024-04 W1,FY24Q3Apr W1
